user_id,item_id,category,event_type,timestamp,price,user_age,device
U002,I0009,服装,view,2024-01-01 17:01:07,301.5044031488898,92,xiaomi
U002,I0048,电脑,view,2024-01-01 21:29:31,893.1260896253422,93,huawei
U003,I0011,电脑,purchase,2024-01-01 19:01:37,936.7932264191732,45,iphone
U003,I0024,手机,cart,2024-01-01 14:16:47,185.3395726129785,14,huawei
U003,I0074,电脑,view,2024-01-01 13:00:43,653.1365700567425,87,iphone
U004,I0035,服装,view,2024-01-01 21:31:45,106.20472883306086,57,iphone
U004,I0044,电脑,view,2024-01-01 08:25:06,653.1365700567425,42,huawei
U005,I0026,服装,cart,2024-01-01 18:31:30,941.0539985093852,59,iphone
U006,I0095,美妆,purchase,2024-01-01 04:32:51,399.1667474200928,20,huawei
U007,I0001,服装,cart,2024-01-01 00:42:37,852.6253048016883,26,iphone
U007,I0029,服装,view,2024-01-01 03:23:03,25.302050363578758,8,iphone
U007,I0093,电脑,view,2024-01-01 13:07:34,653.1365700567425,27,iphone
U008,I0054,手机,view,2024-01-01 10:56:24,749.0264910668438,98,huawei
U008,I0088,电脑,view,2024-01-01 22:46:58,177.79781921923157,57,xiaomi
U009,I0041,,view,2024-01-01 16:24:00,376.45711325288994,10,iphone
U009,I0071,手机,purchase,2024-01-01 14:49:11,854.4793609126865,86,iphone
U010,I0062,服装,view,2024-01-01 17:03:54,497.5925168806753,54,huawei
U011,I0006,服装,cart,2024-01-01 00:30:02,332.14570117767505,11,iphone
U011,I0018,服装,view,2024-01-01 23:53:01,316.8250521632824,37,android
U012,I0008,,view,2024-01-01 10:39:20,323.75278510471486,81,huawei
U012,I0078,美妆,purchase,2024-01-01 05:48:52,507.61072217414016,18,android
U014,I0081,,view,2024-01-01 13:02:55,699.0694987082233,19,iphone
U015,I0006,,view,2024-01-01 00:30:02,244.87659662183208,84,android
U015,I0063,手机,view,2024-01-01 00:36:40,561.2332498337666,80,iphone
U015,I0080,服装,cart,2024-01-01 02:03:20,287.96463881644723,51,huawei
U015,I0085,,cart,2024-01-01 11:56:56,725.2275941088902,1,iphone
U015,I0088,电脑,cart,2024-01-01 13:25:54,391.246751315906,60,android
U017,I0008,电脑,view,2024-01-01 05:55:57,574.3605583884713,52,iphone
U017,I0087,手机,view,2024-01-01 08:17:35,581.1348457800955,7,xiaomi
U018,I0089,电脑,view,2024-01-01 01:32:19,963.9837773183604,9,xiaomi
U019,I0063,服装,view,2024-01-01 06:05:18,316.8250521632824,3,android
U019,I0082,服装,cart,2024-01-01 11:50:42,34.0728067671393,30,xiaomi
U019,I0089,服装,view,2024-01-01 01:14:59,954.3892912325616,2,android
